Gene.1,raw_pvalues,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,fold change,is_interesting
0610037P05Rik,0.006732573039659628,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.01772862184285673,0.18736508230106805,0.00835238529413635,0.009393043623240515,-0.08417500000000011,False
0610040B10Rik,0.017066824737579183,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.03908685946560116,0.41308978811646624,0.018414770933026754,0.0207091436271903,-0.09157500000000063,False
0610040J01Rik,6.75264663190687e-05,0.771104606375745,0.6913895489646124,1.0,0.9999724202693399,0.6724591404125766,0.0003331315842921069,0.003520703823525072,0.00015694639833354265,0.0001765010011083168,0.10607500000000059,False
0910001L09Rik,0.046901255293105876,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.09057924193569492,0.9572874457180661,0.04267408572441006,0.047991027074947276,-0.06342499999999873,False
1100001E04Rik,7.558753791456671e-09,0.00016503177158944116,0.00015414890308940166,0.00015416078357675882,0.00015416078357675882,0.00014556648051587258,1.1453531508428621e-07,1.2104673971481174e-06,5.3960374915138646e-08,6.068352185095406e-08,0.2967500000000003,True
1100001G20Rik,0.003026703470025532,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.008990351009115424,0.09501459682931399,0.004235573200401666,0.004763300834401356,-0.16225000000000023,False
1110001A16Rik,0.08613119212590759,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.1488110919504029,1.0,0.07010852772584358,0.07884364000213538,-0.08157499999999906,False
1110002B05Rik,0.09170034733128059,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.1565624430353047,1.0,0.0737603779026416,0.08295048934016623,0.07582500000000003,False
1110002N22Rik,0.09236459907418601,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.15749949400896926,1.0,0.07420184542570492,0.08344696113311485,0.06392500000000112,False
1110003E01Rik,6.355830777118665e-06,0.12958050558059908,0.11141368602244284,0.11812311499275038,0.11812311499275038,0.09255996360717911,4.268488420734988e-05,0.00045111554149055924,2.0109887970735434e-05,2.261546232789414e-05,-0.16287499999999966,False
1110003O08Rik,0.468975794834138,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.575835712770815,1.0,0.2712902210796141,0.30509139502320715,-0.03500000000000014,False
1110004E09Rik,0.007964356100527323,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.02043018273672628,0.21591655030054854,0.009625156391696966,0.01082439455124183,0.12977500000000042,False
1110004F10Rik,0.2650018719059629,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.36896703813107734,1.0,0.17382935293127513,0.19548747304909522,0.05077499999999979,False
1110005A03Rik,0.3061406738354594,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.413113009900331,1.0,0.19462759481771033,0.21887705416230635,-0.04075000000000095,False
1110006G14Rik,2.358568012248657e-05,0.40249904616689336,0.3455986633727067,0.42402945078755533,0.4240233572420636,0.2950804440124295,0.0001334871242805843,0.0014107597448158112,6.288903354588371e-05,7.072463909616651e-05,-0.22534999999999705,False
1110006O24Rik,0.6638208167988795,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.7482591262610879,1.0,0.35252308824583517,0.3964454020598419,0.02684999999999782,False
1110007A13Rik,0.5844992733446808,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.6803060572218073,1.0,0.32050874333138224,0.3604422571184759,0.015550000000001063,False
1110007C09Rik,7.580110246465365e-06,0.15254058987617902,0.13094933543789977,0.1403533213235527,0.1403533213235527,0.10878974225727092,4.98529238649311e-05,0.0005268710261686402,2.3486925935358198e-05,2.641325946032647e-05,-0.1312749999999987,False
1110007L15Rik,0.000620247046041841,0.9999986923723542,0.9999486145563862,1.0,0.9999724202693399,0.99997242026934,0.002288457967273335,0.024185586402671648,0.0010781482532329196,0.0012124792162122753,-0.12650000000000006,False
1110008E08Rik,0.002215680952600004,1.0,0.9999999999999946,1.0,0.9999724202693399,0.99997242026934,0.006885766239684185,0.0727722757944761,0.003244052086449792,0.0036482419920785174,-0.14390000000000036,False
1110008F13Rik,0.3115416261231845,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.41892544687767785,1.0,0.1973659753620642,0.22195662089735707,-0.02734999999999843,False
1110008J03Rik,9.020355379067333e-05,0.8604989895777868,0.7892100954487848,1.0,0.9999724202693399,0.8146282942835709,0.0004303243602838873,0.004547886457019318,0.0002027362809361277,0.0002279960351186722,0.15409999999999968,False
1110008L16Rik,0.01984031804167849,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.04431246618721065,0.4683166547136505,0.02087668145948413,0.023477793798029944,0.06902499999999989,False
1110008P14Rik,0.0035231071924345845,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.010224221896173466,0.10805477120675273,0.00481687980975207,0.005417034845443644,-0.13129999999999775,False
1110012D08Rik,0.03725327885494306,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.07482525469576688,0.7907913050736979,0.03525199885758434,0.03964419161891085,-0.0708000000000002,False
1110012J17Rik,0.08364792439975016,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.14526783021303943,1.0,0.06843921087252286,0.07696633603781036,0.0752000000000006,False
1110012L19Rik,0.3487661792699136,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.4570739766135624,1.0,0.2153386763189245,0.2421686152163645,-0.06416250000000012,False
1110014N23Rik,0.2506832897503615,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.35293480067849997,1.0,0.1662761756162001,0.186993214042105,-0.030450000000000088,False
1110015M06Rik,0.4315695454132835,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.5404046726715337,1.0,0.2545977956387482,0.28631919105725545,0.03049999999999997,False
1110017D15Rik,0.47020985621341327,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.5769616302568069,1.0,0.271820668213958,0.30568793276628914,0.03032499999999949,False
1110017F19Rik,0.000859348442516006,0.9999999929619888,0.9999985764011671,1.0,0.9999724202693399,0.99997242026934,0.0030377000554212387,0.03210395742742331,0.001431134438750551,0.0016094454147539126,0.15744999999999898,False
1110018G07Rik,0.05522242483994118,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.10355390298695599,1.0,0.04878676437036026,0.05486530970850459,-0.06930000000000014,False
1110018H23Rik,0.7305213507077437,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.8021590994570573,1.0,0.37791667763291725,0.42500288408009435,-0.02084999999999937,False
1110018J18Rik,0.2708391217019506,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.3752869794619934,1.0,0.17680683113009052,0.1988359276071428,0.04907500000000198,False
1110020C03Rik,0.6361623473995421,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.7247524186303351,1.0,0.34144850608885996,0.3839909917750748,-0.018949999999999356,False
1110020C17Rik,7.376326718630468e-07,0.015977203801358364,0.014176181355777806,0.014277617996581135,0.014277617996581135,0.012359773049737212,6.494439270213559e-06,6.86365335754026e-05,3.059688425586759e-06,3.440907697976625e-06,0.2674500000000002,True
1110020G09Rik,0.26831032494688134,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.3726579699265412,1.0,0.17556824074350033,0.19744301610667175,-0.027849999999999042,False
1110020P15Rik,0.6881635557989256,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.7682815850736037,1.0,0.3619561559721622,0.4070537748221204,0.017075000000000173,False
1110021J02Rik,0.0001515396700411433,0.9634516571514183,0.92346479579295,1.0,0.9999724202693399,0.9985274972505696,0.0006783248657950726,0.007168881790874453,0.0003195753558247727,0.0003593925749907697,0.15654999999999752,False
1110021L09Rik,0.9337894854122387,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.9534836052177438,1.0,0.44920933578543304,0.5051781902304792,-0.01392500000000041,False
1110028C15Rik,2.4379724133677214e-07,0.005309169687783832,0.00478449756719046,0.004795979331576982,0.004795979331576982,0.004283029935804413,2.4596934857864103e-06,2.599529035504038e-05,1.1588214741600551e-06,1.3032038483635102e-06,0.27225000000000144,True
1110030E23Rik,0.010382116468838931,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.02565199104485779,0.2711032733343909,0.012085277393105201,0.013591032232683596,0.12479999999999869,False
1110032A03Rik,0.0008478717524361642,0.9999999909557135,0.999998310263217,1.0,0.9999724202693399,0.99997242026934,0.003001991197412623,0.0317265680748292,0.0014143111265300505,0.0015905260162815394,-0.2062500000000007,False
1110032A04Rik,0.2909049585868456,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.39701917436988404,1.0,0.18704539714875187,0.2103501590351673,0.047274999999999956,False
